,AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x,Urban_Type_rural,Urban_Type_small urban,Urban_Type_urban,IRI_mean_y
0,19750.908888403927,939.2339824579099,5639.954048943036,23578.956442454164,149.01180611004068,9.897085113792897,4.24684495647127,10.229438546801145,1.0,7.0,3.0,0.2947370081867239,0.0,0.20327619452228174,1.780238612633707,78.82567852040886,516.152085945755,8.105902977672512,1394.1878963926004,41.93863624562144,0.0,1.0,0.0,157.0
1,9672.0,397.0,222.0,10831.0,40.0,0.0,6.0,22.0,4.0,6.0,2.0,0.1,0.0,0.0,1.0,80.9,756.2,6.8,1362.0,12.0,1.0,0.0,0.0,52.4
2,5900.0,259.0,81.0,9800.0,199.5,0.0,4.0,3.0,4.0,6.0,2.0,0.2,7.5,0.0,2.0,77.6,254.6,10.4,1398.8,48.0,0.0,0.0,1.0,229.0
3,30603.672238457326,1590.0475293424593,675.098198094526,36499.82338677688,133.05373913077878,10.090633324366653,9.838356146784534,4.01433383675724,3.0,7.0,3.0,0.04163057157286504,9.15564671290243,0.011175010842512637,1.8201294228235232,76.04396118164378,658.592785545275,8.571956078747814,1061.6968433110944,53.93132472428549,0.0,1.0,0.0,136.0
4,29389.0,3291.0,3397.0,33474.0,63.0,0.0,4.5,32.0,1.0,2.0,5.0,0.2,2.0,0.0,16.5,76.2,315.7,10.5,1319.7,16.0,1.0,0.0,0.0,86.5
5,2500.0,131.0,24.0,3000.0,126.0,0.0,12.0,8.0,4.0,6.0,3.0,0.1,6.0,0.0,2.5,78.9,489.4,8.6,1569.7,76.0,1.0,0.0,0.0,127.0
6,11060.0,379.0,636.0,11088.0,58.9,6.5,9.5,2.0,3.0,7.0,3.0,0.1,0.0,0.0,1.5,77.2,107.8,13.1,1338.5,83.0,1.0,0.0,0.0,64.0
7,44908.0,3693.0,11346.0,58174.0,96.0,10.0,4.5,16.0,1.0,7.0,3.0,0.1,0.0,0.0,4.5,77.2,299.4,10.4,1358.6,63.0,1.0,0.0,0.0,105.0
8,1764.0,27.0,8.0,2138.0,222.5,6.0,4.5,6.0,5.0,7.0,3.0,0.1,6.0,0.0,1.5,77.7,393.9,9.3,1382.1,117.0,0.0,0.0,1.0,232.3
9,8820.0,372.0,907.0,10500.0,53.4,9.0,4.5,6.0,1.0,7.0,2.0,0.1,0.0,0.0,2.1,71.5,784.0,8.0,972.1,43.0,1.0,0.0,0.0,66.8
